"Tabela 5938 - Produto interno bruto a preços correntes, impostos, líquidos de subsídios, sobre produtos a preços correntes e valor adicionado bruto a preços correntes total e por atividade econômica, e respectivas participações - Referência 2010"
"Variável - Produto Interno Bruto a preços correntes (Mil Reais)"
"Cód.";"Município";"Ano"
"1716653";"Pequizeiro (TO)";"129256"
"1716703";"Colméia (TO)";"228040"
"1717008";"Pindorama do Tocantins (TO)";"110783"
"1717206";"Piraquê (TO)";"98238"
"1717503";"Pium (TO)";"458625"
"1717800";"Ponte Alta do Bom Jesus (TO)";"82503"
"1717909";"Ponte Alta do Tocantins (TO)";"141531"
"1718006";"Porto Alegre do Tocantins (TO)";"59927"
"1718204";"Porto Nacional (TO)";"3195894"
"1718303";"Praia Norte (TO)";"114473"
"1718402";"Presidente Kennedy (TO)";"88843"
"1718451";"Pugmil (TO)";"127927"
"1718501";"Recursolândia (TO)";"101805"
"1718550";"Riachinho (TO)";"75295"
"1718659";"Rio da Conceição (TO)";"45739"
"1718709";"Rio dos Bois (TO)";"88775"
"1718758";"Rio Sono (TO)";"150795"
"1718808";"Sampaio (TO)";"70136"
"1718840";"Sandolândia (TO)";"134402"
"1718865";"Santa Fé do Araguaia (TO)";"202707"
"1718881";"Santa Maria do Tocantins (TO)";"118353"
"1718899";"Santa Rita do Tocantins (TO)";"275185"
"1718907";"Santa Rosa do Tocantins (TO)";"419882"
"1719004";"Santa Tereza do Tocantins (TO)";"57246"
"1720002";"Santa Terezinha do Tocantins (TO)";"46686"
"1720101";"São Bento do Tocantins (TO)";"90982"
"1720150";"São Félix do Tocantins (TO)";"42355"
"1720200";"São Miguel do Tocantins (TO)";"239634"
"1720259";"São Salvador do Tocantins (TO)";"59857"
"1720309";"São Sebastião do Tocantins (TO)";"68702"
"1720499";"São Valério (TO)";"229618"
"1720655";"Silvanópolis (TO)";"284767"
"1720804";"Sítio Novo do Tocantins (TO)";"179637"
"1720853";"Sucupira (TO)";"310361"
"1720903";"Taguatinga (TO)";"386846"
"1720937";"Taipas do Tocantins (TO)";"41627"
"1720978";"Talismã (TO)";"173125"
"1721000";"Palmas (TO)";"14168469"
"1721109";"Tocantínia (TO)";"327560"
"1721208";"Tocantinópolis (TO)";"529093"
"1721257";"Tupirama (TO)";"96851"
"1721307";"Tupiratins (TO)";"48417"
"1722081";"Wanderlândia (TO)";"245767"
"1722107";"Xambioá (TO)";"722713"
"2100055";"Açailândia (MA)";"4274162"
"2100105";"Afonso Cunha (MA)";"105581"
"2100154";"Água Doce do Maranhão (MA)";"130746"
"2100204";"Alcântara (MA)";"170261"
"2100303";"Aldeias Altas (MA)";"335246"
"2100402";"Altamira do Maranhão (MA)";"88343"
"2100436";"Alto Alegre do Maranhão (MA)";"378314"
"2100477";"Alto Alegre do Pindaré (MA)";"310142"
"2100501";"Alto Parnaíba (MA)";"573769"
"2100550";"Amapá do Maranhão (MA)";"95026"
"2100600";"Amarante do Maranhão (MA)";"500782"
"2100709";"Anajatuba (MA)";"255439"
"2100808";"Anapurus (MA)";"192813"
"2100832";"Apicum-Açu (MA)";"170117"
"2100873";"Araguanã (MA)";"127935"
"2100907";"Araioses (MA)";"351324"
"2100956";"Arame (MA)";"320623"
"2101004";"Arari (MA)";"422713"
"2101103";"Axixá (MA)";"118131"
"2101202";"Bacabal (MA)";"1912868"
"2101251";"Bacabeira (MA)";"466226"
"2101301";"Bacuri (MA)";"156363"
"2101350";"Bacurituba (MA)";"52138"
"2101400";"Balsas (MA)";"7529798"
"2101509";"Barão de Grajaú (MA)";"309910"
"2101608";"Barra do Corda (MA)";"1157930"
"2101707";"Barreirinhas (MA)";"816789"
"2101731";"Belágua (MA)";"100863"
"2101772";"Bela Vista do Maranhão (MA)";"133414"
"2101806";"Benedito Leite (MA)";"94454"
"2101905";"Bequimão (MA)";"166173"
"2101939";"Bernardo do Mearim (MA)";"276118"
"2101970";"Boa Vista do Gurupi (MA)";"93312"
"2102002";"Bom Jardim (MA)";"571101"
"2102036";"Bom Jesus das Selvas (MA)";"456766"
"2102077";"Bom Lugar (MA)";"149056"
"2102101";"Brejo (MA)";"426439"
"2102150";"Brejo de Areia (MA)";"90089"
"2102200";"Buriti (MA)";"332530"
"2102309";"Buriti Bravo (MA)";"309327"
"2102325";"Buriticupu (MA)";"1008378"
"2102358";"Buritirana (MA)";"156524"
"2102374";"Cachoeira Grande (MA)";"85043"
"2102408";"Cajapió (MA)";"81775"
"2102507";"Cajari (MA)";"155103"
"2102556";"Campestre do Maranhão (MA)";"303257"
"2102606";"Cândido Mendes (MA)";"204526"
"2102705";"Cantanhede (MA)";"233273"
"2102754";"Capinzal do Norte (MA)";"215754"
"2102804";"Carolina (MA)";"595614"
"2102903";"Carutapera (MA)";"246447"
"2103000";"Caxias (MA)";"2696021"
"2103109";"Cedral (MA)";"86165"
"2103125";"Central do Maranhão (MA)";"69154"
"2103158";"Centro do Guilherme (MA)";"137520"
"2103174";"Centro Novo do Maranhão (MA)";"236610"
"2103208";"Chapadinha (MA)";"1130462"
"2103257";"Cidelândia (MA)";"242330"
"2103307";"Codó (MA)";"1808033"
"2103406";"Coelho Neto (MA)";"486211"
"2103505";"Colinas (MA)";"729810"
"2103554";"Conceição do Lago-Açu (MA)";"159750"
"2103604";"Coroatá (MA)";"637484"
"2103703";"Cururupu (MA)";"343104"
"2103752";"Davinópolis (MA)";"218072"
"2103802";"Dom Pedro (MA)";"314608"
"2103901";"Duque Bacelar (MA)";"108748"
"2104008";"Esperantinópolis (MA)";"202856"
"2104057";"Estreito (MA)";"1195399"
"2104073";"Feira Nova do Maranhão (MA)";"132983"
"2104081";"Fernando Falcão (MA)";"159761"
"2104099";"Formosa da Serra Negra (MA)";"257048"
"2104107";"Fortaleza dos Nogueiras (MA)";"354448"
"2104206";"Fortuna (MA)";"214307"
"2104305";"Godofredo Viana (MA)";"855186"
"2104404";"Gonçalves Dias (MA)";"187080"
"2104503";"Governador Archer (MA)";"123047"
"2104552";"Governador Edison Lobão (MA)";"448007"
"2104602";"Governador Eugênio Barros (MA)";"195174"
"2104628";"Governador Luiz Rocha (MA)";"108305"
"2104651";"Governador Newton Bello (MA)";"120254"
"2104677";"Governador Nunes Freire (MA)";"324762"
"2104701";"Graça Aranha (MA)";"66886"
"2104800";"Grajaú (MA)";"1415488"
"2104909";"Guimarães (MA)";"104271"
"2105005";"Humberto de Campos (MA)";"241228"
"2105104";"Icatu (MA)";"211921"
"2105153";"Igarapé do Meio (MA)";"464887"
