municipio,ano_mes,passageiros
ARARIPINA,2022-11,13.0
ARARIPINA,2022-12,31.0
ARARIPINA,2023-01,18.0
ARARIPINA,2023-02,11.0
ARARIPINA,2023-03,9.0
ARARIPINA,2023-04,18.0
ARARIPINA,2023-05,45.0
ARARIPINA,2023-06,37.0
ARARIPINA,2023-07,41.0
ARARIPINA,2023-08,51.0
ARARIPINA,2023-09,43.0
ARARIPINA,2023-10,42.0
ARARIPINA,2023-11,43.0
ARARIPINA,2023-12,46.0
ARARIPINA,2024-01,29.0
ARARIPINA,2024-02,25.0
ARARIPINA,2024-03,34.0
ARARIPINA,2024-04,28.0
ARARIPINA,2024-05,29.0
ARARIPINA,2024-06,33.0
ARARIPINA,2024-07,45.0
ARARIPINA,2024-08,72.0
ARARIPINA,2024-09,74.0
ARARIPINA,2024-10,59.0
ARARIPINA,2024-11,29.0
ARARIPINA,2024-12,40.0
ARARIPINA,2025-01,47.0
ARARIPINA,2025-02,52.0
ARARIPINA,2025-03,26.0
ARARIPINA,2025-04,33.0
ARARIPINA,2025-05,33.0
ARARIPINA,2025-06,9.0
ARARIPINA,2025-07,34.0
ARARIPINA,2025-08,28.0
ARARIPINA,2025-09,20.0
ARARIPINA,2025-10,28.0
ARARIPINA,2025-11,27.0
ARARIPINA,2025-12,19.0
ARAXÁ,2023-06,103.0
ARAXÁ,2023-07,378.0
ARAXÁ,2023-08,105.0
ARAXÁ,2023-09,100.0
ARAXÁ,2023-10,192.0
ARAXÁ,2023-11,101.0
ARAXÁ,2023-12,136.0
ARAXÁ,2024-01,521.0
ARAXÁ,2024-02,447.0
ARAXÁ,2024-03,576.0
ARAXÁ,2024-04,468.0
ARAXÁ,2024-05,509.0
ARAXÁ,2024-06,763.0
ARAXÁ,2024-07,862.0
ARAXÁ,2024-08,1055.0
ARAXÁ,2024-09,985.0
ARAXÁ,2024-10,870.0
ARAXÁ,2024-11,871.0
ARAXÁ,2024-12,942.0
ARAXÁ,2025-01,527.0
ARAXÁ,2025-02,335.0
ARAXÁ,2025-03,247.0
ARAXÁ,2025-04,253.0
ARAXÁ,2025-05,215.0
ARAXÁ,2025-06,325.0
ARAXÁ,2025-07,397.0
ARAXÁ,2025-08,295.0
ARAXÁ,2025-09,342.0
ARAXÁ,2025-10,356.0
ARAXÁ,2025-11,237.0
ARAXÁ,2025-12,100.0
ARAÇATUBA,2021-01,4330.0
ARAÇATUBA,2021-02,3020.0
ARAÇATUBA,2021-03,2041.0
ARAÇATUBA,2021-04,1348.0
ARAÇATUBA,2021-05,2350.0
ARAÇATUBA,2021-06,2898.0
ARAÇATUBA,2021-07,3709.0
ARAÇATUBA,2021-08,3660.0
ARAÇATUBA,2021-09,4105.0
ARAÇATUBA,2021-10,4174.0
ARAÇATUBA,2021-11,4134.0
ARAÇATUBA,2021-12,4275.0
ARAÇATUBA,2022-01,2857.0
ARAÇATUBA,2022-02,2915.0
ARAÇATUBA,2022-03,3869.0
ARAÇATUBA,2022-04,3588.0
ARAÇATUBA,2022-05,4236.0
ARAÇATUBA,2022-06,4235.0
ARAÇATUBA,2022-07,5838.0
ARAÇATUBA,2022-08,4162.0
ARAÇATUBA,2022-09,4308.0
ARAÇATUBA,2022-10,4337.0
ARAÇATUBA,2022-11,4178.0
ARAÇATUBA,2022-12,4344.0
ARAÇATUBA,2023-01,4699.0
ARAÇATUBA,2023-02,3939.0
ARAÇATUBA,2023-03,4450.0
ARAÇATUBA,2023-04,4389.0
ARAÇATUBA,2023-05,3181.0
ARAÇATUBA,2023-06,2704.0
ARAÇATUBA,2023-07,4501.0
ARAÇATUBA,2023-08,3903.0
ARAÇATUBA,2023-09,3825.0
ARAÇATUBA,2023-10,3394.0
ARAÇATUBA,2023-11,3315.0
ARAÇATUBA,2023-12,3368.0
ARAÇATUBA,2024-01,3521.0
ARAÇATUBA,2024-02,2599.0
ARAÇATUBA,2024-03,4002.0
ARAÇATUBA,2024-04,4355.0
ARAÇATUBA,2024-05,4488.0
ARAÇATUBA,2024-06,4476.0
ARAÇATUBA,2024-07,4660.0
ARAÇATUBA,2024-08,4140.0
ARAÇATUBA,2024-09,3864.0
ARAÇATUBA,2024-10,4212.0
ARAÇATUBA,2024-11,3879.0
ARAÇATUBA,2024-12,3606.0
ARAÇATUBA,2025-01,2983.0
ARAÇATUBA,2025-02,3141.0
ARAÇATUBA,2025-03,3784.0
ARAÇATUBA,2025-04,3685.0
ARAÇATUBA,2025-05,4188.0
ARAÇATUBA,2025-06,4346.0
ARAÇATUBA,2025-07,4789.0
ARAÇATUBA,2025-08,4372.0
ARAÇATUBA,2025-09,3971.0
ARAÇATUBA,2025-10,4350.0
ARAÇATUBA,2025-11,3761.0
ARAÇATUBA,2025-12,3867.0
AREALVA,2021-01,2874.0
AREALVA,2021-02,2336.0
AREALVA,2021-03,1917.0
AREALVA,2021-04,1410.0
